"id"	"gene"	"description"
"R-DRE-212436"	"CRSP7"	"Generic Transcription Pathway"
"R-DRE-1170546"	"GHRA"	"Prolactin receptor signaling"
"R-DRE-982772"	"GHRA"	"Growth hormone receptor signaling"
"R-DRE-983168"	"UFL1"	"Antigen processing: Ubiquitination & Proteasome degradation"
"R-DRE-1483191"	"MFSD2AB"	"Synthesis of PC"
"R-DRE-5620916"	"ARF4A"	"VxPx cargo-targeting to cilium"
"R-DRE-6807878"	"ARF4A"	"COPI-mediated anterograde transport"
"R-DRE-6811434"	"ARF4A"	"COPI-dependent Golgi-to-ER retrograde traffic"
"R-DRE-5620916"	"ARF4A"	"VxPx cargo-targeting to cilium"
"R-DRE-6807878"	"ARF4A"	"COPI-mediated anterograde transport"
"R-DRE-6811434"	"ARF4A"	"COPI-dependent Golgi-to-ER retrograde traffic"
"R-DRE-1632852"	"GABARAPA"	"Macroautophagy"
"R-DRE-936837"	"ATP10A"	"Ion transport by P-type ATPases"
"R-DRE-1650814"	"P4HA1B"	"Collagen biosynthesis and modifying enzymes"
"R-DRE-1222556"	"ATPV0E2"	"ROS and RNS production in phagocytes"
"R-DRE-77387"	"ATPV0E2"	"Insulin receptor recycling"
"R-DRE-917977"	"ATPV0E2"	"Transferrin endocytosis and recycling"
"R-DRE-9639288"	"ATPV0E2"	"Amino acids regulate mTORC1"
"R-DRE-983712"	"ATPV0E2"	"Ion channel transport"
"R-DRE-451308"	"NCALDA"	"Activation of Ca-permeable Kainate Receptor"
"R-DRE-389661"	"HOGA1"	"Glyoxylate metabolism and glycine degradation"
"R-DRE-390522"	"TPM4A"	"Striated Muscle Contraction"
"R-DRE-445355"	"TPM4A"	"Smooth Muscle Contraction"
"R-DRE-9013424"	"TPM4A"	"RHOV GTPase cycle"
"R-DRE-202433"	"PAK1"	"Generation of second messenger molecules"
"R-DRE-2029482"	"PAK1"	"Regulation of actin dynamics for phagocytic cup formation"
"R-DRE-2871796"	"PAK1"	"FCERI mediated MAPK activation"
"R-DRE-376172"	"PAK1"	"DSCAM interactions"
"R-DRE-389359"	"PAK1"	"CD28 dependent Vav1 pathway"
"R-DRE-3928662"	"PAK1"	"EPHB-mediated forward signaling"
"R-DRE-3928664"	"PAK1"	"Ephrin signaling"
"R-DRE-399954"	"PAK1"	"Sema3A PAK dependent Axon repulsion"
"R-DRE-445144"	"PAK1"	"Signal transduction by L1"
"R-DRE-445355"	"PAK1"	"Smooth Muscle Contraction"
"R-DRE-5218920"	"PAK1"	"VEGFR2 mediated vascular permeability"
"R-DRE-5621575"	"PAK1"	"CD209 (DC-SIGN) signaling"
"R-DRE-5627123"	"PAK1"	"RHO GTPases activate PAKs"
"R-DRE-5687128"	"PAK1"	"MAPK6/MAPK4 signaling"
"R-DRE-8964616"	"PAK1"	"G beta:gamma signalling through CDC42"
"R-DRE-9013148"	"PAK1"	"CDC42 GTPase cycle"
"R-DRE-9013149"	"PAK1"	"RAC1 GTPase cycle"
"R-DRE-9013404"	"PAK1"	"RAC2 GTPase cycle"
"R-DRE-9013406"	"PAK1"	"RHOQ GTPase cycle"
"R-DRE-9013407"	"PAK1"	"RHOH GTPase cycle"
"R-DRE-9013409"	"PAK1"	"RHOJ GTPase cycle"
"R-DRE-9013420"	"PAK1"	"RHOU GTPase cycle"
"R-DRE-9013423"	"PAK1"	"RAC3 GTPase cycle"
"R-DRE-9013424"	"PAK1"	"RHOV GTPase cycle"
"R-DRE-6811434"	"USE1"	"COPI-dependent Golgi-to-ER retrograde traffic"
"R-DRE-8939243"	"RYBPB"	"RUNX1 interacts with co-factors whose precise effect on RUNX1 targets is not known"
"R-DRE-8953750"	"RYBPB"	"Transcriptional Regulation by E2F6"
"R-DRE-2682334"	"EPHA7"	"EPH-Ephrin signaling"
"R-DRE-3928663"	"EPHA7"	"EPHA-mediated growth cone collapse"
"R-DRE-3928665"	"EPHA7"	"EPH-ephrin mediated repulsion of cells"
"R-DRE-174362"	"PAPSS2B"	"Transport and synthesis of PAPS"
"R-DRE-6798695"	"ANXA2A"	"Neutrophil degranulation"
"R-DRE-75205"	"ANXA2A"	"Dissolution of Fibrin Clot"
"R-DRE-204005"	"USO1"	"COPII-mediated vesicle transport"
"R-DRE-6807878"	"USO1"	"COPI-mediated anterograde transport"
"R-DRE-114608"	"TGFB3"	"Platelet degranulation "
"R-DRE-2129379"	"TGFB3"	"Molecules associated with elastic fibres"
"R-DRE-112303"	"CX35B"	"Electric Transmission Across Gap Junctions"
"R-DRE-8964011"	"HDLBPA"	"HDL clearance"
"R-DRE-1222556"	"ATP6V1E1B"	"ROS and RNS production in phagocytes"
"R-DRE-77387"	"ATP6V1E1B"	"Insulin receptor recycling"
"R-DRE-917977"	"ATP6V1E1B"	"Transferrin endocytosis and recycling"
"R-DRE-9639288"	"ATP6V1E1B"	"Amino acids regulate mTORC1"
"R-DRE-983712"	"ATP6V1E1B"	"Ion channel transport"
"R-DRE-2187335"	"DHRS3B"	"The retinoid cycle in cones (daylight vision)"
"R-DRE-5365859"	"DHRS3B"	"RA biosynthesis pathway"
"R-DRE-1855231"	"MINPP1B"	"Synthesis of IPs in the ER lumen"
"R-DRE-2559585"	"ETS2"	"Oncogene Induced Senescence"
"R-DRE-422085"	"SEC11A"	"Synthesis, secretion, and deacylation of Ghrelin"
"R-DRE-983695"	"DAPP1"	"Antigen activates B Cell Receptor (BCR) leading to generation of second messengers"
"R-DRE-109704"	"FGF17"	"PI3K Cascade"
"R-DRE-1257604"	"FGF17"	"PIP3 activates AKT signaling"
"R-DRE-190322"	"FGF17"	"FGFR4 ligand binding and activation"
"R-DRE-190371"	"FGF17"	"FGFR3b ligand binding and activation"
"R-DRE-190372"	"FGF17"	"FGFR3c ligand binding and activation"
"R-DRE-190373"	"FGF17"	"FGFR1c ligand binding and activation"
"R-DRE-190375"	"FGF17"	"FGFR2c ligand binding and activation"
"R-DRE-5654219"	"FGF17"	"Phospholipase C-mediated cascade: FGFR1"
"R-DRE-5654221"	"FGF17"	"Phospholipase C-mediated cascade; FGFR2"
"R-DRE-5654227"	"FGF17"	"Phospholipase C-mediated cascade; FGFR3"
"R-DRE-5654228"	"FGF17"	"Phospholipase C-mediated cascade; FGFR4"
"R-DRE-5654687"	"FGF17"	"Downstream signaling of activated FGFR1"
"R-DRE-5654688"	"FGF17"	"SHC-mediated cascade:FGFR1"
"R-DRE-5654689"	"FGF17"	"PI-3K cascade:FGFR1"
"R-DRE-5654693"	"FGF17"	"FRS-mediated FGFR1 signaling"
"R-DRE-5654695"	"FGF17"	"PI-3K cascade:FGFR2"
"R-DRE-5654699"	"FGF17"	"SHC-mediated cascade:FGFR2"
"R-DRE-5654700"	"FGF17"	"FRS-mediated FGFR2 signaling"
"R-DRE-5654704"	"FGF17"	"SHC-mediated cascade:FGFR3"
"R-DRE-5654706"	"FGF17"	"FRS-mediated FGFR3 signaling"
"R-DRE-5654710"	"FGF17"	"PI-3K cascade:FGFR3"
"R-DRE-5654712"	"FGF17"	"FRS-mediated FGFR4 signaling"
"R-DRE-5654719"	"FGF17"	"SHC-mediated cascade:FGFR4"
"R-DRE-5654720"	"FGF17"	"PI-3K cascade:FGFR4"
"R-DRE-5654726"	"FGF17"	"Negative regulation of FGFR1 signaling"
"R-DRE-5654727"	"FGF17"	"Negative regulation of FGFR2 signaling"
"R-DRE-5654732"	"FGF17"	"Negative regulation of FGFR3 signaling"
"R-DRE-5654733"	"FGF17"	"Negative regulation of FGFR4 signaling"
"R-DRE-5658623"	"FGF17"	"FGFRL1 modulation of FGFR1 signaling"
"R-DRE-5673001"	"FGF17"	"RAF/MAP kinase cascade"
"R-DRE-6811558"	"FGF17"	"PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling"
"R-DRE-352238"	"LMNA"	"Breakdown of the nuclear lamina"
"R-DRE-4419969"	"LMNA"	"Depolymerisation of the Nuclear Lamina"
"R-DRE-3000157"	"LAMC1"	"Laminin interactions"
"R-DRE-381426"	"LAMC1"	"Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)"
"R-DRE-8874081"	"LAMC1"	"MET activates PTK2 signaling"
"R-DRE-8957275"	"LAMC1"	"Post-translational protein phosphorylation"
"R-DRE-3371571"	"HSPB8"	"HSF1-dependent transactivation"
"R-DRE-204005"	"SEC23A"	"COPII-mediated vesicle transport"
"R-DRE-2132295"	"SEC23A"	"MHC class II antigen presentation"
"R-DRE-5694530"	"SEC23A"	"Cargo concentration in the ER"
"R-DRE-983170"	"SEC23A"	"Antigen Presentation: Folding, assembly and peptide loading of class I MHC"
"R-DRE-1650814"	"P3H1"	"Collagen biosynthesis and modifying enzymes"
"R-DRE-6807878"	"COPZ2"	"COPI-mediated anterograde transport"
"R-DRE-6811434"	"COPZ2"	"COPI-dependent Golgi-to-ER retrograde traffic"
"R-DRE-8964058"	"LIPG"	"HDL remodeling"
"R-DRE-1650814"	"P4HB"	"Collagen biosynthesis and modifying enzymes"
"R-DRE-3299685"	"P4HB"	"Detoxification of Reactive Oxygen Species"
"R-DRE-381426"	"P4HB"	"Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)"
"R-DRE-5358346"	"P4HB"	"Hedgehog ligand biogenesis"
"R-DRE-8866423"	"P4HB"	"VLDL assembly"
"R-DRE-8957275"	"P4HB"	"Post-translational protein phosphorylation"
"R-DRE-8963888"	"P4HB"	"Chylomicron assembly"
"R-DRE-9020591"	"P4HB"	"Interleukin-12 signaling"
"R-DRE-1632852"	"LAMTOR3"	"Macroautophagy"
"R-DRE-165159"	"LAMTOR3"	"MTOR signalling"
"R-DRE-166208"	"LAMTOR3"	"mTORC1-mediated signalling"
"R-DRE-380972"	"LAMTOR3"	"Energy dependent regulation of mTOR by LKB1-AMPK"
"R-DRE-5628897"	"LAMTOR3"	"TP53 Regulates Metabolic Genes"
"R-DRE-5674135"	"LAMTOR3"	"MAP2K and MAPK activation"
"R-DRE-6798695"	"LAMTOR3"	"Neutrophil degranulation"
"R-DRE-8943724"	"LAMTOR3"	"Regulation of PTEN gene transcription"
"R-DRE-9639288"	"LAMTOR3"	"Amino acids regulate mTORC1"
"R-DRE-399955"	"FARP2"	"SEMA3A-Plexin repulsion signaling by inhibiting Integrin adhesion"
"R-DRE-9013149"	"FARP2"	"RAC1 GTPase cycle"
"R-DRE-390522"	"TMOD2"	"Striated Muscle Contraction"
"R-DRE-9013418"	"TMOD2"	"RHOBTB2 GTPase cycle"
"R-DRE-9696264"	"TMOD2"	"RND3 GTPase cycle"
"R-DRE-432722"	"PICALMA"	"Golgi Associated Vesicle Biogenesis"
"R-DRE-8856825"	"PICALMA"	"Cargo recognition for clathrin-mediated endocytosis"
"R-DRE-8856828"	"PICALMA"	"Clathrin-mediated endocytosis"
"R-DRE-9696264"	"PICALMA"	"RND3 GTPase cycle"
"R-DRE-446210"	"GNPNAT1"	"Synthesis of UDP-N-acetyl-glucosamine"
"R-DRE-5666185"	"RHPN2"	"RHO GTPases Activate Rhotekin and Rhophilins"
"R-DRE-8980692"	"RHPN2"	"RHOA GTPase cycle"
"R-DRE-1660661"	"PLPP1"	"Sphingolipid de novo biosynthesis"
"R-DRE-2022870"	"CHST11"	"Chondroitin sulfate biosynthesis"
"R-DRE-9033241"	"ZFAND6"	"Peroxisomal protein import"
"R-DRE-727802"	"SLC35A2"	"Transport of nucleotide sugars"
"R-DRE-109704"	"FGF8A"	"PI3K Cascade"
"R-DRE-1257604"	"FGF8A"	"PIP3 activates AKT signaling"
"R-DRE-190322"	"FGF8A"	"FGFR4 ligand binding and activation"
"R-DRE-190371"	"FGF8A"	"FGFR3b ligand binding and activation"
"R-DRE-190372"	"FGF8A"	"FGFR3c ligand binding and activation"
"R-DRE-190373"	"FGF8A"	"FGFR1c ligand binding and activation"
"R-DRE-190375"	"FGF8A"	"FGFR2c ligand binding and activation"
"R-DRE-5654219"	"FGF8A"	"Phospholipase C-mediated cascade: FGFR1"
"R-DRE-5654221"	"FGF8A"	"Phospholipase C-mediated cascade; FGFR2"
"R-DRE-5654227"	"FGF8A"	"Phospholipase C-mediated cascade; FGFR3"
"R-DRE-5654228"	"FGF8A"	"Phospholipase C-mediated cascade; FGFR4"
"R-DRE-5654687"	"FGF8A"	"Downstream signaling of activated FGFR1"
"R-DRE-5654688"	"FGF8A"	"SHC-mediated cascade:FGFR1"
"R-DRE-5654689"	"FGF8A"	"PI-3K cascade:FGFR1"
"R-DRE-5654693"	"FGF8A"	"FRS-mediated FGFR1 signaling"
"R-DRE-5654695"	"FGF8A"	"PI-3K cascade:FGFR2"
"R-DRE-5654699"	"FGF8A"	"SHC-mediated cascade:FGFR2"
"R-DRE-5654700"	"FGF8A"	"FRS-mediated FGFR2 signaling"
"R-DRE-5654704"	"FGF8A"	"SHC-mediated cascade:FGFR3"
"R-DRE-5654706"	"FGF8A"	"FRS-mediated FGFR3 signaling"
"R-DRE-5654710"	"FGF8A"	"PI-3K cascade:FGFR3"
"R-DRE-5654712"	"FGF8A"	"FRS-mediated FGFR4 signaling"
"R-DRE-5654719"	"FGF8A"	"SHC-mediated cascade:FGFR4"
"R-DRE-5654720"	"FGF8A"	"PI-3K cascade:FGFR4"
"R-DRE-5654726"	"FGF8A"	"Negative regulation of FGFR1 signaling"
"R-DRE-5654727"	"FGF8A"	"Negative regulation of FGFR2 signaling"
"R-DRE-5654732"	"FGF8A"	"Negative regulation of FGFR3 signaling"
"R-DRE-5654733"	"FGF8A"	"Negative regulation of FGFR4 signaling"
"R-DRE-5658623"	"FGF8A"	"FGFRL1 modulation of FGFR1 signaling"
"R-DRE-5673001"	"FGF8A"	"RAF/MAP kinase cascade"
"R-DRE-6811558"	"FGF8A"	"PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling"
"R-DRE-190873"	"DAB2"	"Gap junction degradation"
"R-DRE-196025"	"DAB2"	"Formation of annular gap junctions"
"R-DRE-8856825"	"DAB2"	"Cargo recognition for clathrin-mediated endocytosis"
"R-DRE-8856828"	"DAB2"	"Clathrin-mediated endocytosis"
"R-DRE-1059683"	"STAT1A"	"Interleukin-6 signaling"
"R-DRE-1433557"	"STAT1A"	"Signaling by SCF-KIT"
"R-DRE-186763"	"STAT1A"	"Downstream signal transduction"
"R-DRE-6785807"	"STAT1A"	"Interleukin-4 and Interleukin-13 signaling"
"R-DRE-877300"	"STAT1A"	"Interferon gamma signaling"
"R-DRE-877312"	"STAT1A"	"Regulation of IFNG signaling"
"R-DRE-8854691"	"STAT1A"	"Interleukin-20 family signaling"
"R-DRE-8984722"	"STAT1A"	"Interleukin-35 Signalling"
"R-DRE-8985947"	"STAT1A"	"Interleukin-9 signaling"
"R-DRE-9020956"	"STAT1A"	"Interleukin-27 signaling"
"R-DRE-9020958"	"STAT1A"	"Interleukin-21 signaling"
"R-DRE-909733"	"STAT1A"	"Interferon alpha/beta signaling"
"R-DRE-912694"	"STAT1A"	"Regulation of IFNA signaling"
"R-DRE-111465"	"BCAP31"	"Apoptotic cleavage of cellular proteins"
"R-DRE-75153"	"BCAP31"	"Apoptotic execution phase"
"R-DRE-8980692"	"BCAP31"	"RHOA GTPase cycle"
"R-DRE-983170"	"BCAP31"	"Antigen Presentation: Folding, assembly and peptide loading of class I MHC"
"R-DRE-6798695"	"RAB18B"	"Neutrophil degranulation"
"R-DRE-6811436"	"RAB18B"	"COPI-independent Golgi-to-ER retrograde traffic"
"R-DRE-8873719"	"RAB18B"	"RAB geranylgeranylation"
"R-DRE-8876198"	"RAB18B"	"RAB GEFs exchange GTP for GDP on RABs"
"R-DRE-9018519"	"FOXA1"	"Estrogen-dependent gene expression"
"R-DRE-6807004"	"PTPN2B"	"Negative regulation of MET activity"
"R-DRE-877312"	"PTPN2B"	"Regulation of IFNG signaling"
"R-DRE-5173214"	"ADAMTS18"	"O-glycosylation of TSR domain-containing proteins"
"R-DRE-8866652"	"UBE2G2"	"Synthesis of active ubiquitin: roles of E1 and E2 enzymes"
"R-DRE-983168"	"UBE2G2"	"Antigen processing: Ubiquitination & Proteasome degradation"
"R-DRE-193648"	"NET1"	"NRAGE signals death through JNK"
"R-DRE-416482"	"NET1"	"G alpha (12/13) signalling events"
"R-DRE-8980692"	"NET1"	"RHOA GTPase cycle"
"R-DRE-204005"	"SCFD1"	"COPII-mediated vesicle transport"
"R-DRE-8980692"	"SCFD1"	"RHOA GTPase cycle"
"R-DRE-399710"	"GRIA4A"	"Activation of AMPA receptors"
"R-DRE-416993"	"GRIA4A"	"Trafficking of GluR2-containing AMPA receptors"
"R-DRE-438066"	"GRIA4A"	"Unblocking of NMDA receptors, glutamate binding and activation"
"R-DRE-8849932"	"GRIA4A"	"Synaptic adhesion-like molecules"
"R-DRE-6805567"	"KRT18"	"Keratinization"
"R-DRE-6809371"	"KRT18"	"Formation of the cornified envelope"
"R-DRE-375165"	"SPTBN1"	"NCAM signaling for neurite out-growth"
"R-DRE-5673001"	"SPTBN1"	"RAF/MAP kinase cascade"
"R-DRE-6807878"	"SPTBN1"	"COPI-mediated anterograde transport"
"R-DRE-9013420"	"SPTBN1"	"RHOU GTPase cycle"
"R-DRE-9013424"	"SPTBN1"	"RHOV GTPase cycle"
"R-DRE-1650814"	"COLGALT1"	"Collagen biosynthesis and modifying enzymes"
"R-DRE-114608"	"PDGFBB"	"Platelet degranulation "
"R-DRE-1257604"	"PDGFBB"	"PIP3 activates AKT signaling"
"R-DRE-186763"	"PDGFBB"	"Downstream signal transduction"
"R-DRE-186797"	"PDGFBB"	"Signaling by PDGF"
"R-DRE-5673001"	"PDGFBB"	"RAF/MAP kinase cascade"
"R-DRE-6811558"	"PDGFBB"	"PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling"
"R-DRE-1660499"	"MTMR8"	"Synthesis of PIPs at the plasma membrane"
"R-DRE-2022854"	"B4GALT4"	"Keratan sulfate biosynthesis"
"R-DRE-975577"	"B4GALT4"	"N-Glycan antennae elongation"
"R-DRE-432142"	"LRP8"	"Platelet sensitization by LDL"
"R-DRE-975634"	"LRP8"	"Retinoid metabolism and transport"
"R-DRE-111465"	"PTK2AB"	"Apoptotic cleavage of cellular proteins"
"R-DRE-2029482"	"PTK2AB"	"Regulation of actin dynamics for phagocytic cup formation"
"R-DRE-354192"	"PTK2AB"	"Integrin signaling"
"R-DRE-354194"	"PTK2AB"	"GRB2:SOS provides linkage to MAPK signaling for Integrins "
"R-DRE-372708"	"PTK2AB"	"p130Cas linkage to MAPK signaling for integrins"
"R-DRE-375165"	"PTK2AB"	"NCAM signaling for neurite out-growth"
"R-DRE-3928662"	"PTK2AB"	"EPHB-mediated forward signaling"
"R-DRE-418885"	"PTK2AB"	"DCC mediated attractive signaling"
"R-DRE-4420097"	"PTK2AB"	"VEGFA-VEGFR2 Pathway"
"R-DRE-5663213"	"PTK2AB"	"RHO GTPases Activate WASPs and WAVEs"
"R-DRE-5673001"	"PTK2AB"	"RAF/MAP kinase cascade"
"R-DRE-8874081"	"PTK2AB"	"MET activates PTK2 signaling"
"R-DRE-9009391"	"PTK2AB"	"Extra-nuclear estrogen signaling"
"R-DRE-375276"	"APLNR2"	"Peptide ligand-binding receptors"
"R-DRE-418594"	"APLNR2"	"G alpha (i) signalling events"
"R-DRE-1660499"	"RAB4A"	"Synthesis of PIPs at the plasma membrane"
"R-DRE-8854214"	"RAB4A"	"TBC/RABGAPs"
"R-DRE-8873719"	"RAB4A"	"RAB geranylgeranylation"
"R-DRE-8875656"	"RAB4A"	"MET receptor recycling"
"R-DRE-114608"	"FAM3C"	"Platelet degranulation "
"R-DRE-210991"	"ITGA6A"	"Basigin interactions"
"R-DRE-216083"	"ITGA6A"	"Integrin cell surface interactions"
"R-DRE-3000157"	"ITGA6A"	"Laminin interactions"
"R-DRE-446107"	"ITGA6A"	"Type I hemidesmosome assembly"
"R-DRE-1369062"	"ABCA3B"	"ABC transporters in lipid homeostasis"
"R-DRE-5683826"	"ABCA3B"	"Surfactant metabolism"
"R-DRE-399954"	"PLXNA3"	"Sema3A PAK dependent Axon repulsion"
"R-DRE-399955"	"PLXNA3"	"SEMA3A-Plexin repulsion signaling by inhibiting Integrin adhesion"
"R-DRE-399956"	"PLXNA3"	"CRMPs in Sema3A signaling"
"R-DRE-9609523"	"SEC61G"	"Insertion of tail-anchored proteins into the endoplasmic reticulum membrane"
"R-DRE-375276"	"APLNRB"	"Peptide ligand-binding receptors"
